code,conditions,garment
3104,"[{""Front Closure"":{""condition"":""equals"",""value"":""Slanted""}}]",Tux Pants
3132,"[{""Front Closure"":{""condition"":""equals"",""value"":""Vertical Welt""}}]",Tux Pants
3134,"[{""Front Closure"":{""condition"":""equals"",""value"":""Jean Pockets""}}]",Tux Pants
3200,"[{""Back Pockets"":{""condition"":""equals"",""value"":""Both, Besom without Button""}}]",Tux Pants
3210,"[{""Back Pockets"":{""condition"":""equals"",""value"":""Both, Flap without Button""}}]",Tux Pants
320E,"[{""Back Pockets"":{""condition"":""equals"",""value"":""Left - Besom without Button""}}]",Tux Pants
3608,"[{""Cuffs"":{""condition"":""equals"",""value"":""No Cuff - Straight Hem""}}]",Tux Pants
"3449, 3329","[{""Waistband"":{""condition"":""equals"",""value"":""Suspender Buttons - No Belt Loops""}}]",Tux Pants
"3449, 3330","[{""Waistband"":{""condition"":""equals"",""value"":""Suspender Buttons - Belt Loops""}}]",Tux Pants
"3449, 3351","[{""Waistband"":{""condition"":""equals"",""value"":""Suspender Buttons - Side Button Tab""}}]",Tux Pants
"3449, 3352=QZMAB01","[{""Waistband"":{""condition"":""equals"",""value"":""Suspender Buttons - Side Silver Buckle""}}]",Tux Pants
"3449, 3352=QZMAB02","[{""Waistband"":{""condition"":""equals"",""value"":""Suspender Buttons - Side Gunmetal Buckle""}}]",Tux Pants
"3440, 3329","[{""Waistband"":{""condition"":""equals"",""value"":""No Suspender Buttons - No Belt Loops""}}]",Tux Pants
"3440, 3351","[{""Waistband"":{""condition"":""equals"",""value"":""No Suspender Buttons - Side Button Tab""}}]",Tux Pants
"3440, 3330","[{""Waistband"":{""condition"":""equals"",""value"":""No Suspender Buttons - Belt Loops""}}]",Tux Pants
"3440, 3352=QZMAB01","[{""Waistband"":{""condition"":""equals"",""value"":""No Suspender Buttons - Side Silver Buckle""}}]",Tux Pants
3201,"[{""Back Pockets"":{""condition"":""equals"",""value"":""Both - Besom with Button""}}]",Tux Pants
32C7,"[{""Back Pockets"":{""condition"":""equals"",""value"":""Left - Besom with Button""}}]",Tux Pants
32E2,"[{""Both"":{""condition"":""equals"",""value"":""Flap with Button""}}]",Tux Pants
32F3,"[{""Back Pockets"":{""condition"":""equals"",""value"":""Left - Flap with Button""}}]",Tux Pants
320G,"[{""Back Pockets"":{""condition"":""equals"",""value"":""Right - Besom with Button""}}]",Tux Pants
32F1,"[{""Back Pockets"":{""condition"":""equals"",""value"":""Left - Flap without Button""}}]",Tux Pants
320F,"[{""Back Pockets"":{""condition"":""equals"",""value"":""Right - Besom without Button""}}]",Tux Pants
32F2,"[{""Back Pockets"":{""condition"":""equals"",""value"":""Right - Flap with Button""}}]",Tux Pants
32E9,"[{""Back Pockets"":{""condition"":""equals"",""value"":""Right - Flap without Button""}}]",Tux Pants
360K,"[{""Cuffs"":{""condition"":""equals"",""value"":""No Cuff - Slanted Hem""}}]",Tux Pants
3605,"[{""Cuffs"":{""condition"":""equals"",""value"":""Wide 2.0\""""}}]",Tux Pants
33A2=DXN044A,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband - Std. Black""}}]",Tux Pants
33A2=DXN031A,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband - Red""}}]",Tux Pants
331F=DXN030A,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Stripe - Burgundy""}}]",Tux Pants
331F=TGES122,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Stripe - Grosgrain""}}]",Tux Pants
331F=TGES102,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Stripe - Glossy Black""}}]",Tux Pants
"33A2, 331F = DXN044A","[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband & Stripe - Std. Black""}}]",Tux Pants
"33A2, 331F= DXN032A","[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband & Stripe - Grey""}}]",Tux Pants
"33A2, 331F= DXN047A","[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband & Stripe - Navy""}}]",Tux Pants
"33A2, 331F=DXN031A","[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband & Stripe - Red""}}]",Tux Pants
"33A2, 331F = DXN030A","[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband & Stripe - Burgundy""}}]",Tux Pants
"33A2, 331F=TGES102","[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband & Stripe - Glossy Black""}}]",Tux Pants
5AL3,"[{""Collar Style"":{""condition"":""contains"",""value"":""Pointed""}},{""Collar Style"":{""condition"":""contains"",""value"":""Long""}}]",Shirt
5AL7,"[{""Collar Style"":{""condition"":""contains"",""value"":""Spread""}},{""Collar Style"":{""condition"":""contains"",""value"":""Short""}}]",Shirt
5AL8,"[{""Collar Style"":{""condition"":""contains"",""value"":""Spread""}},{""Collar Style"":{""condition"":""contains"",""value"":""Medium""}}]",Shirt
5AL9,"[{""Collar Style"":{""condition"":""contains"",""value"":""Spread""}},{""Collar Style"":{""condition"":""contains"",""value"":""Long""}}]",Shirt
5AM1,"[{""Collar Style"":{""condition"":""contains"",""value"":""Cutaway""}},{""Collar Style"":{""condition"":""contains"",""value"":""Short""}}]",Shirt
5AM2,"[{""Collar Style"":{""condition"":""contains"",""value"":""Cutaway""}},{""Collar Style"":{""condition"":""contains"",""value"":""Medium""}}]",Shirt
5AM3,"[{""Collar Style"":{""condition"":""contains"",""value"":""Cutaway""}},{""Collar Style"":{""condition"":""contains"",""value"":""Long""}}]",Shirt
5291,"[{""Collar Style"":{""condition"":""contains"",""value"":""Hidden Button""}}]",Shirt
5290,"[{""Collar Style"":{""condition"":""contains"",""value"":""Button Down""}}]",Shirt
5703,"[{""Collar Style"":{""condition"":""contains"",""value"":""Stiff""}}]",Shirt
5701,"[{""Collar Style"":{""condition"":""contains"",""value"":""Soft""}}]",Shirt
5250,"[{""Collar Style"":{""condition"":""contains"",""value"":""Band""}}]",Shirt
5410,"[{""Cuff Style"":{""condition"":""contains"",""value"":""Round""}},{""Cuff Style"":{""condition"":""contains"",""value"":""1 Button""}}]",Shirt
545F,"[{""Cuff Style"":{""condition"":""contains"",""value"":""Round""}},{""Cuff Style"":{""condition"":""contains"",""value"":""French Double Fold""}}]",Shirt
5409,"[{""Cuff Style"":{""condition"":""contains"",""value"":""Round""}},{""Cuff Style"":{""condition"":""contains"",""value"":""French Single Fold""}}]",Shirt
3602,"[{""Cuffs"":{""condition"":""equals"",""value"":""Standard 1.5\""""}}]",Tux Pants
33A2=DXN032A,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband - Grey""}}]",Tux Pants
33A2=DXN047A,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband - Navy""}}]",Tux Pants
33A2=DXN030A,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband - Burgundy""}}]",Tux Pants
33A2=DXN045A,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband - White""}}]",Tux Pants
33A2=DXN033A,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband - Ivory""}}]",Tux Pants
